x,y,z,yaw,pitch,roll,q1_in,q2_in,q3_in,q4_in,q5_in,q6_in,q1_out,q2_out,q3_out,q4_out,q5_out,q6_out
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.31,-1.9253,-0.6786,-2.9838,-0.5561,2.1808,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.3119,-1.9198,-0.6309,-2.894,-0.5458,2.1622,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1273,-1.8891,-0.7558,-2.8352,-0.7151,2.0888,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2567,-1.9515,-0.7063,-2.9511,-0.5748,2.1065,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.3109,-1.9448,-0.7638,-2.8823,-0.5763,2.1825,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2888,-1.9358,-0.6054,-2.8777,-0.6001,2.17,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.3033,-1.8835,-0.7562,-2.992,-0.7296,2.2144,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.2581,-1.8775,-0.6795,-2.976,-0.6067,2.0881,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.3124,-2.0066,-0.665,-2.9792,-0.6337,2.23,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
409.6186,-568.0596,594.3522,0.1589,-0.651,2.0868,2.1614,-1.9858,-0.5964,-2.9738,-0.5635,2.1238,2.2124,-1.9174,-0.6914,-2.9081,-0.6436,2.1619
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1888,0.0716,-1.1282,-0.327,1.4339,1.104,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.0921,-0.0781,-0.9636,-0.4226,1.3294,1.1414,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.049,0.0534,-0.981,-0.4557,1.3315,1.2089,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.142,0.0593,-0.9643,-0.3858,1.3485,1.1436,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1855,-0.0953,-0.939,-0.3593,1.3344,1.3008,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.2184,0.084,-1.0416,-0.3183,1.3241,1.1943,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.0787,0.0711,-0.9942,-0.353,1.269,1.1568,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.0707,0.0709,-0.9549,-0.2695,1.2941,1.1031,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.0796,0.0714,-1.0039,-0.339,1.3914,1.1775,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1593,0.0502,-1.0235,-0.2823,1.3158,1.276,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.056,-0.0806,-1.0946,-0.3781,1.381,1.2353,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1302,-0.0488,-1.0526,-0.3703,1.2947,1.1916,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.2202,0.0922,-1.0491,-0.4022,1.3811,1.1316,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1843,0.0337,-1.0049,-0.3952,1.3371,1.1032,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.2219,-0.0957,-1.0762,-0.3286,1.42,1.126,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1936,-0.0631,-0.9961,-0.2803,1.4189,1.3014,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.0739,-0.0859,-1.0169,-0.4558,1.284,1.1292,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1022,0.0265,-0.9976,-0.3557,1.3509,1.259,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1729,-0.0382,-1.1091,-0.4537,1.3731,1.1138,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
59.6167,57.6108,1079.0787,2.1591,-0.1658,0.4267,1.1797,-0.0708,-1.1284,-0.3178,1.2775,1.2572,1.1252,-0.0076,-1.0321,-0.3564,1.3547,1.2028
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2568,-0.2452,-0.517,1.3777,0.4738,-5.9179,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3495,-0.2498,-0.4722,1.3077,0.5225,-5.9204,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3028,-0.3432,-0.4989,1.3639,0.594,-5.8659,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.3779,-0.3332,-0.4874,1.2951,0.633,-5.8695,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2737,-0.3709,-0.4873,1.3064,0.5315,-5.9119,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
90.4258,19.7073,1417.674,1.0566,0.5114,-0.6702,-0.2363,-0.3361,-0.5389,1.2216,0.6147,-5.8279,-0.2803,-0.3192,-0.4857,1.3148,0.5639,-5.8493
